acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.975319,,Covertype,0,autogluon_nonn_1h,openml.org/t/7593,,0.06910089999999999,0.06910089999999999,0.06910089999999999,local,8.0,8.0,,multiclass,3697410719,stable,118.01,3444.3,2020-02-03T09:42:30,0.0.5
0.78,0.829048,credit-g,0,autogluon_nonn_1h,openml.org/t/31,,,0.170952,0.829048,local,10.0,10.0,,binary,4093999287,stable,0.330052,9.1,2020-02-03T08:34:38,0.0.5
0.987,,dilbert,0,autogluon_nonn_1h,openml.org/t/168909,,0.0554656,0.0554656,0.0554656,local,10.0,10.0,,multiclass,4156743204,stable,0.960475,3619.8,2020-02-03T09:37:21,0.0.5
0.871453,,Dionis,0,autogluon_nonn_1h,openml.org/t/189355,,0.646748,0.646748,0.646748,local,6.0,6.0,,multiclass,3240364351,stable,38.2698,3652.8,2020-02-03T09:51:45,0.0.5
0.735437,,fabert,0,autogluon_nonn_1h,openml.org/t/168910,,0.715544,0.715544,0.715544,local,10.0,10.0,,multiclass,3720807265,stable,0.973621,344.2,2020-02-03T08:40:54,0.0.5
0.909714,,Fashion-MNIST,0,autogluon_nonn_1h,openml.org/t/146825,,0.248471,0.248471,0.248471,local,10.0,10.0,,multiclass,1646059256,stable,102.745,3678.8,2020-02-03T09:46:52,0.0.5
0.848,0.914426,guiellermo,0,autogluon_nonn_1h,openml.org/t/168337,,,0.08557400000000004,0.914426,local,10.0,10.0,,binary,553094872,stable,4.33745,1128.7,2020-02-03T09:12:42,0.0.5
0.391718,,Helena,0,autogluon_nonn_1h,openml.org/t/168329,,2.54082,2.54082,2.54082,local,6.0,6.0,,multiclass,2370159796,stable,9.86605,919.7,2020-02-03T08:51:53,0.0.5
0.733809,0.81517,higgs,0,autogluon_nonn_1h,openml.org/t/146606,,,0.18483000000000005,0.81517,local,10.0,10.0,,binary,3126261476,stable,28.4676,151.2,2020-02-03T08:39:54,0.0.5
0.722116,,Jannis,0,autogluon_nonn_1h,openml.org/t/168330,,0.675942,0.675942,0.675942,local,10.0,10.0,,multiclass,292708819,stable,0.624228,240.3,2020-02-03T08:40:27,0.0.5
0.809365,0.865503,jasmine,0,autogluon_nonn_1h,openml.org/t/168911,,,0.13449699999999998,0.865503,local,10.0,10.0,,binary,2384896075,stable,0.647397,11.2,2020-02-03T08:34:55,0.0.5
0.863454,,jungle_chess_2pcs_raw_endgame_complete,0,autogluon_nonn_1h,openml.org/t/167119,,0.220885,0.220885,0.220885,local,10.0,10.0,,multiclass,3797085182,stable,0.753326,87.3,2020-02-03T08:37:16,0.0.5
0.876777,0.842615,kc1,0,autogluon_nonn_1h,openml.org/t/3917,,,0.157385,0.842615,local,10.0,10.0,,binary,771221765,stable,0.147325,8.9,2020-02-03T08:34:50,0.0.5
0.9822,0.8549370000000001,KDDCup09_appetency,0,autogluon_nonn_1h,openml.org/t/3945,,,0.14506299999999994,0.8549370000000001,local,10.0,10.0,,binary,2925484340,stable,1.10218,63.7,2020-02-03T08:37:26,0.0.5
0.99375,0.999922,kr-vs-kp,0,autogluon_nonn_1h,openml.org/t/3,,,7.80000000000225e-05,0.999922,local,8.0,8.0,,binary,3922638209,stable,0.123777,15.0,2020-02-03T08:35:01,0.0.5
0.975,,mfeat-factors,0,autogluon_nonn_1h,openml.org/t/12,,0.106633,0.106633,0.106633,local,10.0,10.0,,multiclass,3152557828,stable,0.546666,232.3,2020-02-03T08:38:41,0.0.5
0.942723,0.984597,MiniBooNE,0,autogluon_nonn_1h,openml.org/t/168335,,,0.015402999999999945,0.984597,local,10.0,10.0,,binary,2365921605,stable,1.17275,239.8,2020-02-03T08:40:29,0.0.5
0.97418,0.995934,nomao,0,autogluon_nonn_1h,openml.org/t/9977,,,0.004066000000000014,0.995934,local,10.0,10.0,,binary,880677515,stable,2.7526200000000003,46.4,2020-02-03T08:37:03,0.0.5
0.512458,0.517342,numerai28.6,0,autogluon_nonn_1h,openml.org/t/167120,,,0.48265800000000003,0.517342,local,10.0,10.0,,binary,111243248,stable,10.9117,107.8,2020-02-03T08:38:49,0.0.5
0.903882,0.970381,phoneme,0,autogluon_nonn_1h,openml.org/t/9952,,,0.02961899999999995,0.970381,local,10.0,10.0,,binary,3658852739,stable,0.570417,12.7,2020-02-03T08:35:06,0.0.5
0.9975,0.999732,riccardo,0,autogluon_nonn_1h,openml.org/t/168338,,,0.000268000000000046,0.999732,local,10.0,10.0,,binary,2722337839,stable,4.32598,1531.4,2020-02-03T09:20:35,0.0.5
0.527,,Robert,0,autogluon_nonn_1h,openml.org/t/168332,,1.32751,1.32751,1.32751,local,10.0,10.0,,multiclass,603259954,stable,30.4556,3671.3,2020-02-03T09:57:10,0.0.5
0.991342,,segment,0,autogluon_nonn_1h,openml.org/t/146822,,0.06503300000000001,0.06503300000000001,0.06503300000000001,local,10.0,10.0,,multiclass,4046830600,stable,0.391067,23.0,2020-02-03T08:35:19,0.0.5
0.999655,,Shuttle,0,autogluon_nonn_1h,openml.org/t/146212,,0.000982111,0.000982111,0.000982111,local,10.0,10.0,,multiclass,52361443,stable,0.0314143,53.0,2020-02-03T08:37:07,0.0.5
0.935673,0.982657,sylvine,0,autogluon_nonn_1h,openml.org/t/168912,,,0.017342999999999997,0.982657,local,10.0,10.0,,binary,3323143546,stable,0.562705,12.5,2020-02-03T08:35:10,0.0.5
