id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/31,credit-g,AutoPilot,1,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382904,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/31,credit-g,AutoPilot,2,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382905,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/31,credit-g,AutoPilot,3,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382906,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/31,credit-g,AutoPilot,4,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382907,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/31,credit-g,AutoPilot,5,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382908,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/31,credit-g,AutoPilot,6,,local,1.0,,stable,2020-02-04T04:18:19,0.1,,2111382909,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/31,credit-g,AutoPilot,7,,local,1.0,,stable,2020-02-04T04:18:20,0.1,,2111382910,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/31,credit-g,AutoPilot,8,,local,1.0,,stable,2020-02-04T04:18:20,0.1,,2111382911,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/31,credit-g,AutoPilot,9,,local,1.0,,stable,2020-02-04T04:18:20,0.1,,2111382912,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/168909,dilbert,AutoPilot,0,0.9790000000000001,local,1.0,,stable,2020-02-04T05:26:24,3691.9,10.0,2783871126,,0.9790000000000001,1.0,243.666
openml.org/t/168909,dilbert,AutoPilot,1,,local,1.0,,stable,2020-02-04T05:27:26,61.8,,2783871127,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/168909,dilbert,AutoPilot,2,,local,1.0,,stable,2020-02-04T05:28:28,61.9,,2783871128,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/168909,dilbert,AutoPilot,3,,local,1.0,,stable,2020-02-04T05:29:30,62.0,,2783871129,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/168909,dilbert,AutoPilot,4,,local,1.0,,stable,2020-02-04T05:30:31,61.6,,2783871130,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/168909,dilbert,AutoPilot,5,,local,1.0,,stable,2020-02-04T05:31:33,61.7,,2783871131,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/168909,dilbert,AutoPilot,6,,local,1.0,,stable,2020-02-04T05:32:35,61.9,,2783871132,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/168909,dilbert,AutoPilot,7,,local,1.0,,stable,2020-02-04T05:33:36,61.5,,2783871133,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
